461	U+1F98C	🦌	deer
No.	Code	Emoji	Description
462	U+1F42E	🐮	cow face
463	U+1F402	🐂	ox
464	U+1F403	🐃	water buffalo
465	U+1F404	🐄	cow
466	U+1F437	🐷	pig face
467	U+1F416	🐖	pig
468	U+1F417	🐗	boar
469	U+1F43D	🐽	pig nose
470	U+1F40F	🐏	ram
471	U+1F411	🐑	ewe
472	U+1F410	🐐	goat
473	U+1F42A	🐪	camel
474	U+1F42B	🐫	two-hump camel
475	U+1F999	🦙	⊛ llama
476	U+1F992	🦒	giraffe
477	U+1F418	🐘	elephant
478	U+1F98F	🦏	rhinoceros
479	U+1F99B	🦛	⊛ hippopotamus
480	U+1F42D	🐭	mouse face
481	U+1F401	🐁	mouse
No.	Code	Emoji	Description
482	U+1F400	🐀	rat
483	U+1F439	🐹	hamster
484	U+1F430	🐰	rabbit face
485	U+1F407	🐇	rabbit
486	U+1F43F	🐿	chipmunk
487	U+1F994	🦔	hedgehog
488	U+1F987	🦇	bat
489	U+1F43B	🐻	bear
490	U+1F428	🐨	koala
491	U+1F43C	🐼	panda
492	U+1F998	🦘	⊛ kangaroo
493	U+1F9A1	🦡	⊛ badger
494	U+1F43E	🐾	paw prints
animal-bird
No.	Code	Emoji	Description
495	U+1F983	🦃	turkey
496	U+1F414	🐔	chicken
497	U+1F413	🐓	rooster
498	U+1F423	🐣	hatching chick
499	U+1F424	🐤	baby chick
500	U+1F425	🐥	front-facing baby chick
501	U+1F426	🐦	bird
502	U+1F427	🐧	penguin
503	U+1F54A	🕊	dove
504	U+1F985	🦅	eagle
505	U+1F986	🦆	duck
506	U+1F9A2	🦢	⊛ swan
507	U+1F989	🦉	owl
508	U+1F99A	🦚	⊛ peacock
509	U+1F99C	🦜	⊛ parrot
animal-amphibian
No.	Code	Emoji	Description
510	U+1F438	🐸	frog
animal-reptile
No.	Code	Emoji	Description
511	U+1F40A	🐊	crocodile
512	U+1F422	🐢	turtle
513	U+1F98E	🦎	lizard
514	U+1F40D	🐍	snake
515	U+1F432	🐲	dragon face
516	U+1F409	🐉	dragon
517	U+1F995	🦕	sauropod
518	U+1F996	🦖	T-Rex
animal-marine
No.	Code	Emoji	Description
519	U+1F433	🐳	spouting whale
520	U+1F40B	🐋	whale
521	U+1F42C	🐬	dolphin
522	U+1F41F	🐟	fish
523	U+1F420	🐠	tropical fish
524	U+1F421	🐡	blowfish
525	U+1F988	🦈	shark
526	U+1F419	🐙	octopus
527	U+1F41A	🐚	spiral shell
animal-bug
No.	Code	Emoji	Description
528	U+1F40C	🐌	snail
529	U+1F98B	🦋	butterfly
530	U+1F41B	🐛	bug
531	U+1F41C	🐜	ant
532	U+1F41D	🐝	honeybee
533	U+1F41E	🐞	lady beetle
534	U+1F997	🦗	cricket
535	U+1F577	🕷	spider
536	U+1F578	🕸	spider web
537	U+1F982	🦂	scorpion
538	U+1F99F	🦟	⊛ mosquito
